name,page_url
Res Arcana,https://boardgamegeek.com/boardgame/262712/res-arcana
The Castles of Burgundy,https://boardgamegeek.com/boardgame/271320/castles-burgundy
Red Cathedral,https://boardgamegeek.com/boardgame/227224/red-cathedral
Grand Austria Hotel,https://boardgamegeek.com/boardgame/182874/grand-austria-hotel
Stroganov,https://boardgamegeek.com/boardgame/323156/stroganov
Quacks of Quedlingburg,https://boardgamegeek.com/boardgame/244521/quacks-quedlinburg
Wingspan,https://boardgamegeek.com/boardgame/266192/wingspan
Orleans,https://boardgamegeek.com/boardgame/164928/orleans
Ark Nova,https://boardgamegeek.com/boardgame/342942/ark-nova
Terraforming Mars,https://boardgamegeek.com/boardgame/167791/terraforming-mars
HansA Teutonica,https://boardgamegeek.com/boardgame/43015/hansa-teutonica
Seeland,https://boardgamegeek.com/boardgame/63759/seeland
Fantasy Realms,https://boardgamegeek.com/boardgame/223040/fantasy-realms
Deep Sea Diver,-
Next Station Tokyo,https://boardgamegeek.com/boardgame/380165/next-station-tokyo
The Mind,https://boardgamegeek.com/boardgame/244992/mind
Ticket to Ride: The Card Game,https://boardgamegeek.com/boardgame/34127/ticket-ride-card-game
Coup,https://boardgamegeek.com/boardgame/131357/coup
Love Letter,https://boardgamegeek.com/boardgame/129622/love-letter
Joan of Arc,https://boardgamegeek.com/boardgame/364641/joan-arc-orleans-draw-write
Lost Ruins of Arnak,https://boardgamegeek.com/boardgame/312484/lost-ruins-arnak
Architects of the West Kingdom,https://boardgamegeek.com/boardgame/236457/architects-west-kingdom
Pirate's Cove,https://boardgamegeek.com/boardgame/2987/pirates-cove
Ticket to Ride: Europe,https://boardgamegeek.com/boardgame/14996/ticket-ride-europe
Coimbra,https://boardgamegeek.com/boardgame/245638/coimbra
Amerigo,https://boardgamegeek.com/boardgame/137408/amerigo
Concordia,https://boardgamegeek.com/boardgame/124361/concordia
El Grande,https://boardgamegeek.com/boardgame/171908/el-grande-big-box
Hallertau,https://boardgamegeek.com/boardgame/300322/hallertau
Through the Desert,https://boardgamegeek.com/boardgame/503/through-desert
Carcassonne: the Castle,https://boardgamegeek.com/boardgame/7717/carcassonne-castle
Trans America,https://boardgamegeek.com/boardgame/2842/transamerica
Pandemic,https://boardgamegeek.com/boardgame/30549/pandemic
The Seafarers of Catan,https://boardgamegeek.com/boardgame/325/catan-seafarers
Clash of Cultures,https://boardgamegeek.com/boardgame/40765/clash-cultures
The New Dungeon,https://boardgamegeek.com/boardgame/2301/new-dungeon
The Settlers of Catan,https://boardgamegeek.com/boardgame/13/catan
Caylus,https://boardgamegeek.com/boardgame/18602/caylus
Glass Road,https://boardgamegeek.com/boardgame/143693/glass-road
Ricochet Robots,https://boardgamegeek.com/boardgame/51/ricochet-robots
Mhing,https://boardgamegeek.com/boardgame/1452/mhing
Codenames,https://boardgamegeek.com/boardgame/178900/codenames
Wembley,https://boardgamegeek.com/boardgame/2721/wembley
Root,https://boardgamegeek.com/boardgame/237182/root
Machi Koro,https://boardgamegeek.com/boardgame/143884/machi-koro
Age of Empires III: Age of Discovery,https://boardgamegeek.com/boardgame/22545/age-empires-iii-age-discovery
Gloomhaven,https://boardgamegeek.com/boardgame/174430/gloomhaven
Dice City,https://boardgamegeek.com/boardgame/179572/dice-city
Carcassone,https://boardgamegeek.com/boardgame/822/carcassonne
Twilight Struggle,https://boardgamegeek.com/boardgame/12333/twilight-struggle
Tzolk'in: the Mayan Calender,https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar
Snake Oil,https://boardgamegeek.com/boardgame/113289/snake-oil
Pompeii,https://boardgamegeek.com/boardgame/148571/downfall-pompeii-dancing-flames
Azul,https://boardgamegeek.com/boardgame/230802/azul
Imhotep,https://boardgamegeek.com/boardgame/191862/imhotep
Villagers,https://boardgamegeek.com/boardgame/241724/villagers
New Bedford,https://boardgamegeek.com/boardgame/157413/new-bedford
Puerto Rico,https://boardgamegeek.com/boardgame/3076/puerto-rico
Scotland Yard,https://boardgamegeek.com/boardgame/438/scotland-yard
Oh my Goods!,https://boardgamegeek.com/boardgame/183840/oh-my-goods
High Society,https://boardgamegeek.com/boardgame/220/high-society
Get Lucky,https://boardgamegeek.com/boardgame/120447/get-lucky
That's Pretty Clever!,https://boardgamegeek.com/boardgame/244522/s-pretty-clever
Harbour,https://boardgamegeek.com/boardgame/155969/harbour
Fist of Dragonstones,https://boardgamegeek.com/boardgame/4471/fist-dragonstones
Citadels,https://boardgamegeek.com/boardgame/205398/citadels
Sushi Go,https://boardgamegeek.com/boardgame/133473/sushi-go
King's Blood,https://boardgamegeek.com/boardgame/20675/kings-blood
Quiddler,https://boardgamegeek.com/boardgame/339/quiddler
Ransom,https://boardgamegeek.com/boardgame/114/ransom
"Air, Land, & Sea",https://boardgamegeek.com/boardgame/247367/air-land-sea
Flip City,https://boardgamegeek.com/boardgame/168679/flip-city
The Resistance,https://boardgamegeek.com/boardgame/41114/resistance
Ghost Blitz,https://boardgamegeek.com/boardgame/83195/ghost-blitz
Bottom of the 9th,https://boardgamegeek.com/boardgame/166286/bottom-9th
Splendor,https://boardgamegeek.com/boardgame/148228/splendor
Ticket to Ride: London,https://boardgamegeek.com/boardgame/276894/ticket-ride-london
Mariposas,https://boardgamegeek.com/boardgame/297978/mariposas
Ticket to Ride,https://boardgamegeek.com/boardgame/297978/mariposas
Takenoko,https://boardgamegeek.com/boardgame/70919/takenoko
Agricola,https://boardgamegeek.com/boardgame/31260/agricola
Colosseum,https://boardgamegeek.com/boardgame/27746/colosseum
Notre Dame,https://boardgamegeek.com/boardgame/25554/notre-dame
Lancaster,https://boardgamegeek.com/boardgame/96913/lancaster
Maracaibo,https://boardgamegeek.com/boardgame/276025/maracaibo
7 Wonders,https://boardgamegeek.com/boardgame/68448/7-wonders
7 Wonders: Dual,https://boardgamegeek.com/boardgame/173346/7-wonders-duel
Ticket to Ride: Africa,https://boardgamegeek.com/boardgame/131188/ticket-ride-map-collection-3-heart-africa
Ticket to Ride: Switzerland,https://boardgamegeek.com/boardgame/30746/ticket-ride-switzerland
Ticket to Ride: Asia,https://boardgamegeek.com/boardgame/106637/ticket-ride-map-collection-1-asia-legendary-asia
Ticket to Ride: United Kingdom & Pennsylvania,https://boardgamegeek.com/boardgame/182078/ticket-ride-map-collection-5-united-kingdom-pennsy
Cleopatra,https://boardgamegeek.com/boardgame/22141/cleopatra-and-society-architects
Heat: Pedal to the metal,https://boardgamegeek.com/boardgame/366013/heat-pedal-metal
Shadows over Camelot,https://boardgamegeek.com/boardgame/15062/shadows-over-camelot
Lewis & Clark,https://boardgamegeek.com/boardgame/140620/lewis-clark-expedition
Lords of Waterdeep,https://boardgamegeek.com/boardgame/110327/lords-waterdeep
Five Tribes,https://boardgamegeek.com/boardgame/157354/five-tribes
Flamme Rouge,https://boardgamegeek.com/boardgame/199478/flamme-rouge
Mysterium,https://boardgamegeek.com/boardgame/181304/mysterium
Smallworld,https://boardgamegeek.com/boardgame/40692/small-world
King of Tokyo,https://boardgamegeek.com/boardgame/70323/king-tokyo
Discoveries: The Journals of Lewis & Clark,https://boardgamegeek.com/boardgame/171669/discoveries-journals-lewis-clark
The Taverns of Tiefen Thal,https://boardgamegeek.com/boardgame/269207/taverns-tiefenthal
Mandala ,https://boardgamegeek.com/boardgame/264241/mandala
Kahuna,https://boardgamegeek.com/boardgame/394/kahuna
Targi,https://boardgamegeek.com/boardgame/118048/targi
Lost Cities,https://boardgamegeek.com/boardgame/50/lost-cities
Agricola: All Creatures Big and Small,https://boardgamegeek.com/boardgame/119890/agricola-all-creatures-big-and-small
San Juan,https://boardgamegeek.com/boardgame/8217/san-juan
Backpacker,https://boardgamegeek.com/boardgame/14953/backpacker
Mottainai,https://boardgamegeek.com/boardgame/175199/mottainai
Incan Gold,https://boardgamegeek.com/boardgame/15512/incan-gold
Imhotep: Dual,https://boardgamegeek.com/boardgame/255674/imhotep-duel
Pathfinder,https://boardgamegeek.com/boardgame/133038/pathfinder-adventure-card-game-rise-runelords-base
Baseball Highlights: 2045,https://boardgamegeek.com/boardgame/151022/baseball-highlights-2045
Skies Above Britain,https://boardgamegeek.com/boardgame/325096/skies-above-britain
B-17: Queen of the Skies,https://boardgamegeek.com/boardgame/1032/b-17-queen-skies
Zulus on the Ramparts!,https://boardgamegeek.com/boardgame/41627/zulus-ramparts-battle-rorkes-drift-second-edition
RAF,https://boardgamegeek.com/boardgame/3202/raf
Dungeonquest,https://boardgamegeek.com/boardgame/472/dungeonquest
Robinson Crusoe,https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-cursed-island